serial,tier2Code
1,ivoryglow.2.k1.T7HX268X9WN33Y1NNVPF.08QAM395
2,ivoryglow.2.k1.T7HXS9TNT55FPM0T26AW.CGPNYECS
3,ivoryglow.2.k1.T7HXS2BD43D80MACR3E9.KDFEGY4W
4,ivoryglow.2.k1.T7HX0VPGBM9B46T0EP0H.QNX90MRT
5,ivoryglow.2.k1.T7HX7CHQ5MAB6Q1SSWE1.FZJ7M1N5
6,ivoryglow.2.k1.T7HX62MS12BBD6K3HTFW.669XH0KH
7,ivoryglow.2.k1.T7HXRZE2VJWPXA2Z1ZBD.B723VMP4
8,ivoryglow.2.k1.T7HX6ABEX3HY9S74NSVH.131G44XP
9,ivoryglow.2.k1.T7HXKK26YDGVYV13H7MX.6GBHN7KP
10,ivoryglow.2.k1.T7HXBXG225WWNB4DA1Z9.M3V30SRE
11,ivoryglow.2.k1.T7HX8HB2N4XKQEVM7AR7.Y891PRQ6
12,ivoryglow.2.k1.T7HXSH6VYMA9AV3S7H8Z.HTE2VPC2
13,ivoryglow.2.k1.T7HXD8C9FM1H8V5MZHCA.R829N3MB
14,ivoryglow.2.k1.T7HXZAWQYD9FJ1H4SYWQ.AWJZTMS2
15,ivoryglow.2.k1.T7HXSG5NB7HZFAA2ER51.T9TMCQ0N
16,ivoryglow.2.k1.T7HX93P1C8VYPSAD0T6V.3HGDE0FQ
17,ivoryglow.2.k1.T7HX9XTZP2ESVMVNKPM4.AHKKJDZC
18,ivoryglow.2.k1.T7HXH9CWDNECZKE5ES7Z.Z63SG9P6
19,ivoryglow.2.k1.T7HXEEDCHHYSXFAFWGT1.KVXMWG9R
20,ivoryglow.2.k1.T7HX14ANFX15G8P243BJ.1EV4FVZC
