serial,tier2Code
1,ivoryglow.2.k1.T7HXZ2YBFEKRG0BS04A5.10EXRPSP
2,ivoryglow.2.k1.T7HXHXCWFWNZYZXCWW5N.TDGJ2JGY
3,ivoryglow.2.k1.T7HX6WPT6MGTBT5XPKVJ.B472BF56
4,ivoryglow.2.k1.T7HX79ECDQDKCP32DHZ0.MJVM3DK1
5,ivoryglow.2.k1.T7HXWX3P3X6CBYW70108.EB4XP1QX
6,ivoryglow.2.k1.T7HXWF79Q1351MB4MH0P.4A74SWNM
7,ivoryglow.2.k1.T7HXVMGAFMBPGHY8ZY8G.27312P0J
8,ivoryglow.2.k1.T7HX72WZXWVM5PA70XXG.XETGV09D
9,ivoryglow.2.k1.T7HX5GMW6WWQTQAGBJZ6.NMPPNVJK
10,ivoryglow.2.k1.T7HX5TC1HJJNFHR9B6P5.34691G64
11,ivoryglow.2.k1.T7HXN8ZKFA9BW6SRKWBR.8RRFTZNT
12,ivoryglow.2.k1.T7HX1665NH6DGH16N4T1.K0MFHPVJ
13,ivoryglow.2.k1.T7HX5WBJT25JAH4CMWA8.T0Q1TPZD
14,ivoryglow.2.k1.T7HXT9QWW6H64PX0VDB5.5QFBEGZ7
15,ivoryglow.2.k1.T7HX85JW9G7FJC0PJSNX.P8PMJC5D
16,ivoryglow.2.k1.T7HXZHWH197HWXW2HEKT.ZV0C4GC2
17,ivoryglow.2.k1.T7HX2ZZ33V97SV2BYBJM.SS3QTZY6
18,ivoryglow.2.k1.T7HX30RJZHARVXV6PJZ8.R828HRH6
19,ivoryglow.2.k1.T7HX00G4F1P5KG2D4MCZ.ZC8EWS67
20,ivoryglow.2.k1.FRGN6JVDVM24R5YFGS7R.9HPAKYXF
